1,2,3
"['無い', '寛容', '様々', '慎重']","['失敗', 'する', 'ある', '変わる', '重ねる', '仕事', '相当', '持つ', '付き合う', '好む']","['モラル', '人', '人', '時', '態度', '年齢', '責任', '基本', '消極', '考え方', '人間', 'あまり']"
[],"['回答', 'なす']",[]
"['無い', '普通']",['許せる'],[]
"['まじめ', '誠実', '慎重', '積極', '控えめ', 'おとなしい', 'ない', 'ない']","['いえる', '思う', '仕事', '生活', '期す', '思う', 'いう', '自認', 'する', '言う', '思う']","['どちら', '大抵', '人', '人間', '基本', 'タイプ', 'どちら', 'タイプ', '人間', '社交', '人間', '社交']"
"['気楽', '望ましい', 'ない']","['なる', '仕事', '溜まる', '生活', 'あわせる', 'おく']","['責任', 'ストレス', '周り', '別', '誰']"
"['嫌', '多い', '多い', 'めんどい', 'いい']","['ある', 'なる', 'ある', 'よる', '頼れる', 'いる', '任せる', 'する', '思う', '立ち止まる', '考える', 'いう', 'する', 'やる', 'やる', '見かける', 'かける', '見つかる', 'する']","['一つ', '欠点', '人', '人', '何', '消極', '電車', '知り合い', '声']"
[],"['びっくり', 'する', '許せる', '許せる', '共存', 'する', 'する', '分かつ', 'かれる', '構う', 'アタック', 'する']","['部分', '部分', '半々', '誰']"
[],"['よる', '話', 'づく', 'やる', 'する', '考える', '行動', 'する', '話せる']","['相手', '事', '最後', '何', '誰']"
"['良い', '好き']","['変わる', '怒る', '言う', 'する', 'ある', '買い物', '考える', '買う', '思う', '言う', '伝える', 'する']",['人']
[],[],[]
"['いい', '積極']","['許容', 'する', 'おもう', '決める', 'はやる', '心配', 'なる', '接する', 'いえる']","['何', 'ひと', '何', 'どちら']"
[],[],[]
"['細かい', '好き', 'ない', '好き', 'ない']","['くる', 'する', '果たす', 'する', 'ある']","['あまり', '人間', '責任', '好奇', '人付き合い']"
['ない'],[],['いとう']
[],[],[]
"['寛容', '多い', '慎重', '積極', '盛ん']","['合う', '評価', 'する', '仕事', '含める', '意識', 'する', '仕事', 'ふるまう', '意識', '持つ', '交流', '行く', '含める', '交流']","['気', '仲間', '筆頭', 'プライベート', '中心', '趣味', '友人', '知人']"
"['若い', '寛容', 'いろいろ', '多い']","['受ける', '仕事', 'やり遂げる', 'ある', '狙う', 'する']","['動物', '子供', '女性', '異性', '面', '女性', '女性', '友達']"
[],[],[]
['ない'],['会う'],"['短気', '責任', '人', 'おっくう']"
"['固い', '真面目', '慎重', '慎重']","['する', '行く']","['初対面', '人', 'カード', 'どこ', '平気']"
"['広い', '積極', '激しい']","['やる', 'やる', '言える']","['どっち', '僧', '佐賀']"
"['無能', 'ない', 'ない']","['考える', '優遇', 'する', '意識', 'する', '失敗', '恐れる']","['自分', 'ケースバイケース', '観点', '他人', '興味']"
"['いい', 'いい', '多い', '強い']","['怒る', '許す', '思いだす', '許す', '思う', '好く', '言う', '警戒', '感じる', '質問', 'する', '話せる']","['人', '思い出', '動物', '子供', '初対面', '人', '印象', '相手', '言葉', '違和感', '心境', '誰']"
[],"['話す', '出来る']","['笑顔', '誰']"
"['好き', 'ない']","['開示', 'する', '入力', 'しなう', '付き合う', '来る', '一緒', '住む', 'なる']","['自分', '中心', 'タイプ', '笑顔', '魅力', '収入', '個人', '情報', '日本', 'インドア', 'タイプ']"
[],[],[]
"['孤独', '好き', '孤独', '好き', '大事', '孤独', '良い']",['やる'],"['笑顔', '自分', '知り合い', '独り身']"
"['多様', 'ない', '親切', '安易', 'ない', '積極', '親しい', 'ない', '新しい', '大切']","['する', 'いる', '考える', '心がける', '関係', '関係', '接する', '心がける', 'やる', 'やる', '話', '信じる', '確認', 'する', '怠る', '判断', 'する', '行動', 'する', 'なる', 'する']","['世の中', '多種', '考え方', '生き方', 'ひと', '前提', '物事', '年齢', '性別', '人', '自身', '最後', '物事', '真偽', '信ぴょう', '自身', '消極', 'だれ', '彼', 'タイプ', '人', '出会い']"
['若い'],"['言う', '尽くせる', '反応', '比べる', '比べる', '言う', '尽くせる', '言う', '尽くせる']","['一言', '周り', '周り', '一言', '一言']"
"['円満', '多い', '良い', '嫌', '粘り強い', '軽率', '慎重', '得意']","['する', '仕事', 'する', 'する', '我慢', 'する', '終える', 'する', '思う', 'ある', '怒る', '見える', 'する', '言う', '仕事', 'やる', '思う', 'する', '思う', '仕事', '仕事', 'とる', '行く', '話す', '思う', '話しかける', '行く', 'かける', '入れる', 'する']","['基本', '家庭', '自分', '内心', '雰囲気', 'たま', '基本', '人間', '自分', '人', '雰囲気', 'どこ', '声', '仲間']"
"['内気', '迷惑', '慎重', '苦手']","['ある', 'かける', 'なる', '試す']","['面', 'ケチ', '人付き合い']"
"['ない', 'ない', '臆病']",['分かる'],"['可', '不可', '人見知り']"
['おとなしい'],"['する', 'つく', '疑う', 'する', 'する']","['常識', '外れ', 'イラ', '何事', '人見知り', '人見知り']"
"['甘い', '厳しい', 'ない', 'ない', 'ない', 'ない', 'ない', 'ない', 'ない', 'ない', 'ない', 'ない', 'ない', 'ない', 'ない', 'ない', 'ない']","['なす', 'なす', 'なす', 'なす', 'なす']","['自分', '人']"
[],[],[]
"['悪い', '新しい', '慎重', '親しい']","['ある', '思う', 'ある', '思う', 'する', 'なる', '打ち解ける', 'できる']",['人付き合い']
[],['わかる'],[]
"['寛容', 'いい', '軽率', 'ポジティブ', '多い']","['心がける', 'ある', '指摘', 'する']","['性格', '知り合い']"
['ない'],"['怒る', 'ある', 'やり遂げる', '経験', 'ある']","['声', '荒', '責任', '役職']"
"['広い', '細かい', '軽率', 'そそっかしい']","['なる', '言う', '思う', '言う', '話', '話す', 'なる']","['気', '人', '長女', '気質', '子供', '私', '初対面', '人', '苦']"
[],"['イライラ', 'する', '心配', '思う']",[]
"['ない', '多い']","['回答', 'する', '回答', 'する', 'ミス', 'する', '回答', 'する', '回答', 'する']","['通り', '通り', '先人', '通り', '通り']"
"['広い', 'ない', '良い']","['思う', 'わかる', '嫌がる', 'ある']","['心', '理由', '理由', 'たま', '付き合い', '傾向']"
[],[],[]
[],"['一緒', '旅行']",['海外']
"['多い', '良い', '丁寧']","['思う', '仕事', '対応', 'メール', '頂く', '調べる', '選択', 'する']","['友人', '感じ', 'お客様']"
['積極'],[],[]
['いい'],"['言う', 'する', '行動', 'する', '段取り', '組む', '仕事', 'なげる', '打ち解ける']","['当たり', '責', '場当たり', 'ボール', '誰']"
['確実'],"['言える', '思う', '決める', '決める', '考える', 'いう', '出る']","['どちら', 'タイプ', 'どちら', 'タイプ']"
['嫌い'],"['思う', 'イメージ', 'なる', 'する', 'ある']","['相手', '気', '長所', '短所']"
"['慎重', '軽率']","['相談', 'する', 'お願い', 'する', '付き添う', '思う', 'する', 'ある']","['最後', 'たま', '人任せ']"
[],"['考える', 'する']","['いらち', '何']"
"['広い', '少ない', 'いい', 'ない', '新しい', '好き']","['変わる', '仕事', 'こなす', '意見', '持つ', 'トライ', 'する', '過ごす']","['気分', '心', '語彙', '相手', '印象', '家事', '自分']"
"['無い', '普通', '普通']","['言う', '自覚', '判断', 'する', '思う', '思う']",['人']
[],[],[]
['横柄'],"['とる', 'ある']",['態度']
"['悪い', '軽い', '慎重']","['見る', 'する', '引く', '対応', 'する', 'なる', 'する', '分かる', '振る舞う', '飽きる', '関わる']","['他者', '面', '誰', '責任', '自分', '性格', '性格', '他者']"
[],"['ある', 'ある', 'ある', 'ある', 'ある', 'ある']",[]
"['苦手', '仕方', 'いい', '必須', '軽率', '積極']","['認める', '考える', 'いる', '経験', '補える', 'なる', '思う', '知る', '動く']","['悪', '常識', '範囲', '人', '自営業', '部分', '人', '夫', '親友']"
[],[],[]
[],['思い出せる'],[]
[],['関わる'],[]
"['明るい', '楽しい', '悪い', 'ない', '強い', '多い', '積極', 'ない', '多い', '好き', '必要']","['許せる', 'する', 'ある', 'お話', 'できる', 'なる', '任す', '仕事', '全う', 'する', '薄れる', 'する', '考える', '意思', 'する', '行動', '移す', '見る', '考える', 'いる', '覚悟', '決める', 'なる', 'なれる']","['理不尽', '無礼', '誰', '相手', '印象', '責任', '年', '何', '自分', '様子', '消極', '社交', '社交', '社交']"
['苦手'],[],['対人']
"['いい', '弱い', '嫌']","['失う', 'ある', 'する', 'する', 'する', '考える', '結論', '出す', 'とる', 'なる', 'する', 'する']","['たま', '理性', '外面', '何事', '年', '気持ち', '相手', '気', '思い']"
"['親しい', '積極']","['怒る', '出る', '応じる', 'たたく', '渡る', 'ある', '向く', '動く', 'しゃべる', 'できる', '動く']","['気分', '態度', '口', '求め', '石橋', '気', '場面', '自分']"
"['軽い', '少ない']","['遅刻', 'する', '許せる', '失敗', 'する', '泣く', '許せる']","['フットワーク', '相手']"
"['広い', 'よい', '慎重', '苦手', '好き']","['いう', 'ことわれる', 'する', 'まっとうする', '思う', '生きる', '思う', 'うっかり', 'する', 'ある', 'いう', '言える', '過ごす']","['心', 'ひと', '八方美人', '責任', 'たま', '人見知り', 'コミュニケーション', '人見知り']"
"['精一杯', 'ない', '多い', '多い', '多い', '良い', '深い']","['オープン', 'する', '行動', '変わる', 'する', '持つ', '行動', 'する', '考える', '行動', '移す', '下調べ', 'する', '行動', 'する', '特定', '付き合う', '合う', '付き合う']","['自分', '人様', '心', '余裕', '機嫌', '何', '責任', '何', '物事', '仲', '人', '人', '傾向']"
['軽い'],"['許容', 'する', 'おしゃべり', '話す']",['初対面']
"['普通', '積極', '普通']","['できる', '断る', '受け入れる', '保護', '付き合える', '持つ', 'やる', '考える', '行動', 'する', '計画', 'たてる', '持つ', 'する', '接する', 'できる']","['範囲', '友達', '子供', '責任', 'そこ', '関わり', '表面']"
"['明るい', '気楽', 'ない']","['接す', '会う', '喋る', '喋る']","['基本', '人', '基本']"
"['うまい', 'ない', 'いたい']","['笑う', '許せる', '喋れる', 'やり遂げる', 'する']","['大抵', '人前', '最後', '自分', 'あまり']"
['せっかち'],[],[]
['無責任'],[],['権化']
"['多い', '悪い', '薄い']","['嫌う', 'する', '思う']","['子供', '人', '他人', '関心']"
"['寛容', '良い', '慎重', '多い', '大事', '好き']","['思う', '思う', '落ちる', '思う', '考える', '行動', 'する', '思う']","['人当たり', '責任', '人後', '人付き合い']"
"['狭い', 'ない', '親しい', 'ない', '好き', '無い']","['許容', '思い当たる', 'ミス', 'する', 'ある', '求める', '喋る', '会う']","['範囲', '人見知り', 'エピソード', '人', '何', '人', '人']"
"['多い', '無鉄砲', 'プライベート']","['なる', 'する', 'する', 'やり遂げる', 'する', '仕事']","['気', '気', '最後', '物事', '進め方']"
"['真面目', '苦手']","['許せる', 'ある']","['心', '人付き合い']"
[],['いる'],['友達']
['苦手'],['おもう'],"['どっち', '初対面']"
"['ひどい', 'ない', '良い', '嫌い', 'しつこい', '軽い', '雑', 'ない', '良い', '激しい']","['妄想', '責める', 'ある', '当たる', 'なる', '引き受ける', '仕事', '完遂', 'する', '処理', 'する', 'する', '対応', 'なる', '付ける', '書く']","['祖母', '被害', '母', '父', '私', '外面', '猫かぶり', 'マルチタスク', '手', '外面', '猫かぶり', '好き嫌い']"
"['ない', '面倒']","['ある', '与える', 'こなす', '叩く', '参加']","['他人', '文句', 'いとう', '石橋', '場']"
"['新しい', '楽']","['わかる', '感じる', 'わかる', '感じる', 'やる', 'いる', '落ち着く']","['何', '両方']"
"['ない', '慎重', '軽率', '高い', '無理']","['判断', 'できる', '映る', '見る', '関わる', 'なる', '思う', '見合う', 'ある', '失敗', 'する', '特筆', 'する', '経験', 'こもる', 'なる', 'する', 'する', '感じる', '嫌う']","['自己', '無自覚', 'ショーウインドー', '自分', '責任', '能力', '引き', '程度', '消極', '価値']"
"['いい', 'いい']","['おもう', 'かんじる']",[]
"['些細', '悪い', '失礼', '慎重']","['損ねる', 'イメージ', 'する', '考える', 'わかる', 'おもう', '言う', '放棄', 'する', '言う', 'ある', '考える', '行動', 'する', '知る', '話しかける', '集める', 'ある']","['期限', '人', '何', '無意識', 'タイプ', '人', '情報']"
['嫌い'],['つきあえる'],"['人', '割り', '愛想']"
"['可能', '良い', '嫌い', '慎重', '積極', '可能', '好き', 'ない']","['なる', 'ある', '思う', 'もつ', '取り組む', '思う', 'とる', '計画', '立てる', 'やってくる', '思う', '混在', 'する', 'する', 'なる', 'ある']","['どちら', '人当たり', 'これ', '人生', 'それなり', '物事', '責任', 'リスク', '何事', '消極', '両方', '時', 'どちら', '人']"
"['狭い', 'ない', 'ない', '軽率', 'めんどくさい', '多い']","['言える', '思う', '感じる', 'する', '心がける', 'する', 'とる', 'ある', 'つける', '思う', '思う']","['どちら', '心', '責任', '基本', 'たま', '態度', 'なに', '社交']"
[],"['なる', 'する']","['自分', '思い']"
"['ない', '慎重', '大嫌い']","['思いやる', '任す', 'こなす', '行う', '検討', 'する', '目立つ', '出る']","['相手', '何', '社交', '場']"
[],"['ある', '嫌う']",['人']
"['かたくな', 'よい', 'ない']","['慣用', '思う', 'ある', 'する', '言う', '冒険', 'する', '動く', '長ける']","['愛想', '自分', '愛想', 'コミュニケーション', '能力']"
"['面倒', '積極', 'ない', '面倒']","['持つ', 'こだわる', '会う', '言う', '代行', 'できる', '避ける', 'ある', 'シミュレーション', 'する', '行動', 'する', 'ある', '避ける', 'ある', '知る', '困る', '見る', 'かける']","['いつ', '根', '物', '考え方', '人', '人', '興味', '興味', '傾向', '人', '人', '声']"
[],[],[]
[],"['思う', 'おもう', '有る', 'おもう', '思う']",[]
"['嫌い', '適当']","['関わる', '貯まる', '関わる', '貯まる', '行動', 'する', '関わる', '溜まる']","['人間', 'ストレス', '人間', 'ストレス', '責任', '人間', 'ストレス']"
[],[],[]
"['達者', '普通']","['する', 'ある']","['気', '口', '嘘つき']"
[],"['よる', 'よる', 'よる', 'よる', 'よる', 'わかる']",['立場']
"['嫌', '嫌', '怖い', '軽い']","['言う', '言う', '取る', '計画', '立てる', '行動', 'する', '率先', 'する']","['自分', '自分', '責任', '人見知り']"
['ない'],"['怒る', '思う', 'ある', '考える', '決める']","['悪', '人任せ']"
"['暗い', 'いい', '悪い', '嫌']","['イライラ', 'する', 'できる', 'やる', 'する', '言える', 'ある', '混雑', 'する', '会う']","['自分', '範囲', '人']"
"['おおらか', '安全']","['もてる', 'ある', '行動', '心がける', '確認', 'する', '行動', 'する', 'かかわる', 'する']","['好感', '責任', '人']"
[],"['わかる', '思う', '思う', '思う', '思う']",[]
['まとも'],"['面接', '落とす', '会話', '出来る']","['大学', '時代', '他人']"
[],"['運転', 'する', '運転', 'なる']","['他人', '気']"
[],[],[]
[],"['かかわりあう', '付き合う', '意識', 'する']","['場面', '場面', '場面', '人']"
"['重い', '多い', 'ない', '良い', '多い', '好き', '積極']","['する', '困る', 'いる', '手伝う', 'かける', '困る', '手伝う', '行動', 'する', '思う', 'かける', '飲む', '行く', 'ある', '断る']","['荷物', '年寄り', '声', '何', '声', '友だち', '誘い', '遊び']"
"['意外', '深い']","['仕事', 'やる', '吟味', 'する', 'する', '飲食', '経験']","['ケチ', '利己', '法', '後先', 'なあなあ']"
[],"['する', '仕事', '育児', '抜く', '運転', '言う', '言う']","['気', '笑顔', '家事', '人']"
['多い'],"['思いやる', 'ある', 'やり遂げる', '努める', 'なれる']","['相手', '気持ち', '最後', '幹事', '誰']"
[],"['ある', 'チャレンジ', 'ある']","['親切心', '精神', '奥手']"
['普通'],"['思う', 'よる', 'ある']","['短期', '時', '人見知り', '人見知り']"
['嫌'],"['許せる', '思う', 'わかる', '影響', 'ある', '出る', '影響', 'ある', '行動', 'する', 'なる', 'できる', 'しゃべる', 'する']","['他人', '他人', '他人', '責任', '自分', '自身', '身', '思い付き', '無言', 'なん']"
"['優しい', '普通', '面倒', '慎重', '積極', '普通', '面倒']","['する', 'する', 'かかる', '行動', 'する', 'する', '出来る', 'かかわる', 'する']","['責任', '社交']"
"['ない', 'ない']",['回答'],[]
"['よい', 'ない']","['責める', 'する', '守る', 'しゃべる']","['あまり', '外面', '納期', 'プライベート', '犠牲']"
"['広い', '素敵', '素敵']","['仕事', 'ある']",['責任']
"['多い', '慎重', '面倒']","['許せる', 'つける', '行動', 'する', '見える', 'する', 'する', '行動', 'する']","['他人', '気', '感じ', '無責任', '自分', '自分', '付き合い']"
[],"['怒る', 'する']",['あまり']
"['真面目', 'まじめ']",[],['人見知り']
"['怖い', '悪い', '面倒', '危ない', '普通', '深い']","['許せる', '違う', '見る', '引き受ける', 'やり遂げる', '引き受ける', 'たたく', '歩く', '出す', '話す', 'できる', '関わる']","['範囲', '顔', '感じ', '最後', '内心', '石橋', '人間', '手', '初対面']"
['寛容'],"['思う', '気遣う', '仕事', '投げ出す', '考える', '動く', 'ある', 'ある', '関わる']","['大抵', '体調', 'どちら', '面', '趣味', '世界', '興味', '他人']"
"['普通', 'ない', '良い', 'ない', 'ない', '強い', '控え目', '普通']","['思う', '持つ', '対応', '思う', '仕事', 'もつ', '取り組む', '貯金', 'する', 'なる', '仕事', '言う', '頑張る', '思う']","['誰', '好意', '人', '感じ', '人', '当たり障り', '使命', '習慣']"
"['優しい', 'にこやか', '慎重', 'ない', 'ない']","['思う', '受け入れる', '接する', '困る', '助ける', '思う', 'なる', '約束', 'する', '守る', '心配', 'する', '心配', '行動', 'する', 'なる', '率先', 'する', '出る', 'ある', '喋る', 'できる']","['イヤ', '大概', '基本', '人', '人', '気', 'そこ', '自分', '自信', '消極', '相手', 'アクション', '初対面', 'それなり']"
['無い'],['交流'],['姉']
"['寛大', '良い', '優しい', '慎重']",['信頼'],[]
['多様'],[],"['バリエーション', 'バリエーション', 'バリエーション', 'シチュエーション', 'シチュエーション']"
"['偏狭', 'ない']",[],"['消極', '社交']"
"['厳しい', '甘い', 'ただしい']","['なる', '有', '実行', '言う', 'やる', '実行', 'する', '話', 'しける']","['自分', '他人', '礼儀', '言', 'タイプ', '念', '念', '自分']"
"['悪い', '強い', '苦手']","['する', 'なる', 'つける', 'ミス', 'する', 'ミス', 'する', 'つける', 'する', '合う', '関わる']","['印象', '気', '気持ち', '気', 'ガタガタ', '人', '人']"
"['嫌い', '平和', '慎重', '余計', '苦手']","['許す', 'いる', 'くちばしる', 'ある', '群れる']","['何', '争い', '主義', '責任', '調子', '一言', '傾向', '極度', '人見知り', '大勢']"
"['広い', '神経質', '狭い', '良い', '慎重', '親しい']","['ある', 'ある', '仕事', '抜く', '考える', '行動', 'する', '判断', 'する', '行動', 'する', '付き合う']","['部分', '部分', '人当たり', '手', '人']"
['ない'],"['回答', '解答']",[]
"['うるさい', '誠実']","['探す', '探す', 'なる', '探す', '講演', '受ける', 'する']","['事例', '事例', '事例', 'セミナー', '講師']"
[],['浮かぶ'],['思い']
[],[],['ぬい']
"['腹黒い', '少ない']",[],['友人']
['めんどくさい'],['すぎる'],['おせっかい']
"['普通', '良い', 'いい加減', '慎重', '苦手', '好き', '苦手']","['わかる', 'わかる', '言う', 'する', 'たたく', '渡る', '紹介', 'する', 'いる', '行動', '入る']","['ここ', '人当たり', '世辞', '何', '人', '性格', '石橋', '自分', '性格', '人', '集団', '人', '集団']"
[],[],[]
['誠実'],"['ある', '嫌う', '思う', '約束', '守る', '思う', '思う', '保守', '思う', '落ち着く']","['自己', '中心', '言動', '人', '基本', '基本']"
['無責任'],"['許す', '出来る', '思う', '思う', 'ある', 'ある']","['他者', '何', '何', '好奇', '自信']"
"['よい', '積極', '多い']","['向かう', 'する', '避ける', '避ける', '思う', '行く', 'なれる', 'うわさ', '聞く']","['愛想', '場面', '人']"
"['良い', '新しい', '新しい', '興味深い']","['考える', 'なる', '接す', '思う', 'わかる', '目指す', '目指す', '出す', '就職', 'する', '違う', '行動', '見える']","['相手', '不愉快', '相手', '完ぺき', '手', '友人', 'タイプ', '考え方']"
"['軽率', 'ない']","['する', '駆使', 'する', 'きる', '思う', 'する']","['思い', '人柄', '手', 'ふつう']"
[],"['嫉妬', 'する', '思いつく', '仕事', '反省', 'する', '繋げる', '思いつく', '思いつく', '接する', '言う', 'なる', '接', 'する', 'する']","['人', 'ハラスメント', '時代', '人']"
[],[],[]
[],[],[]
[],[],[]
[],[],[]
"['悪い', 'ない', '慎重', '窮屈']","['怒れる', 'する', 'やる', 'やる', 'ある', 'なる', '出る']","['他人', '感じ', '責任', '逃れ', '誰', 'あまり']"
"['慎重', '自由']","['いえる', 'いえる', 'もつ', 'いえる']","['どちら', 'どちら', '責任', '感じ', 'どちら']"
['ない'],"['怒る', '表裏', '表す', '任す', 'やり遂げる', '予測', 'する', '動く', 'する', '進む', 'する', 'なれる']","['めった', '誰', '何事', '自分', '何', 'タイプ', '誰']"
['多い'],"['生活', 'うっかり', '感じる']",[]
[],[],[]
"['良い', '強い']","['許す', '越す', '許す', '許せる', 'する', 'とる', '見る', '食べる', '怖がる', 'ある', '話しかける', 'わかる', '警戒', 'する']","['大概', '度', '出来事', '表面', '心', '感じ', '人並み', 'ニュース', '生物', '好奇', '部分', '初対面', '人', '知り合い', '心', '素性']"
"['良い', '多い', 'せっかち', '多い']","['言う', 'する', 'お誘い', '頂く']","['リーダー', '役割', '機会']"
"['結構', 'いい', 'いい', '多い', '明るい']","['思う', 'ある', '発言', 'ある', '思う', 'やる', 'する']","['暖かみ', '引っ込み思案']"
"['悪い', '無い', '無難', '高い']","['許せる', '思う', '思う', 'こなす', '言える', '言える', 'チャレンジ', 'する', 'やる', '心がける', '思う']","['基本', 'そこ', '印象', 'なん', 'どちら', 'コミュニケーション', '能力']"
['良い'],"['会う', '話', 'かける', '言う']","['人', '感じ']"
[],"['ある', '仕事', '指示', 'する', 'やり遂げる', 'つとめる', '行動', '移す', '考える', '意見', '言える']","['気分', '子ども', '自分']"
"['広い', 'いい', '嫌い']","['怒る', '演じる', '逃げ出す', 'ある', '思う', '言える', '活動', '会う']","['余り', 'うわべ', '人', '自体', '苦痛']"
"['好き', '新しい', '好き']","['いとう', '評価', 'わかる', 'たたく', '渡る', 'ある', '交わる']","['他人', '石橋', '関心', '人']"
"['広い', '低い', 'ない', '重い', '煩わしい']","['わかる', 'いう', '関わる', '肯定', '争う', '接触', 'する', 'のしかかる', '壊す', '取れる', 'うかがう', '意見', '出す', '関わる']","['他人', '自己', '自信', '誰', '他人', '責任', '身体', 'バランス', '人', '顔色', '誰']"
"['確実', '積極']","['失敗', '見れる', '思う', 'かける', '思う', '与える', '仕事', 'こなす', '確認', 'する', 'ある', '調べる', '実行', 'する', 'する', '話しかける']","['多少', '大目', '性格', '周り', '声', '最後', '家', '戸締まり', '興味', '人見知り', '誰', '性格']"
[],[],[]
[],[],[]
[],"['働く', '着く', '告白', 'する', '話しかける']","['ケチ', '顔', '怒り', '誰', '自分', '自分']"
"['明るい', '元気']",[],[]
[],"['おこる', 'やりとげる', 'しらべる', 'する', 'アプローチ', 'する', '飲む', 'すすむ', '参加', 'する']","['あまり', 'した', '自分']"
"['ない', '悪い', '必要', '良い', '軽率', 'ない', 'ない']","['不足', '仕事', '増える', '喋る', '減る', '仕事', 'できる', '思う', '辞める', '困る', '取れる', '思う', '辞める', '困る', 'する', '仕事', 'する', '持つ', '言う', '言う', '聞く', '与える', '仕事', 'こなす', '言う', 'シフト', '飲む', '行く', 'ある', '行く', '思う']","['仕事場', '人手', '余裕', '同僚', '機会', '感じ', '会社', 'バランス', '会社', '責任', 'ここ', 'どちら', '消極', '職場', '同僚', '機会']"
"['いい', '辛い']","['ミス', '叱る', '考える', '成長', 'する', 'ある', '聞く', '言う', 'やる', '考える', '行動', 'する', 'やる', '挑戦', 'する', '対面', '好む']","['部下', '原因', '機会', '街なか', '道', '初対面', '人', '印象', '最後', '何', 'コミュニケーション']"
